"","icpsr.state.code","icpsr.county.code","name","year","totpop","urb25","mfgestab","nonwhitepct","fmratio","forbornpct","rentownratio","irishbornpct","area","popdens","litvappct","urb25pct","dtotpop","darea","durb25","dmfgestab","dnonwhitepct","dfmratio","dforbornpct","drentownratio","dpopdens","dlitvappct","dirishbornpct","durb25pct"
"430",71,850,"SANTA CLARA",1940,174949,68457,312,0.03445576,0.9865218,0.1542564,0.8494532,0.002892271,1305,134.0605,NA,0.3912969,0.2055637,-0.01731928,0.1874382,0.05405405,-0.03397132,0.02363747,-0.02047728,0.1792847,24.78493,NA,-0.001586842,-0.005972916
"502",71,850,"SANTA CLARA",1950,290547,120755,NA,0.03482397,1.017968,0.1040899,NA,0.001824145,1305,222.6414,NA,0.4156126,0.6607526,0,0.763954,NA,0.0003682143,0.03144599,-0.05016651,NA,88.58084,NA,-0.001068126,0.02431573
"14",13,930,"SCHENECTADY",1890,29797,0,193,0.005000503,0.9334891,0.186898,1.783954,0.04134644,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",13,930,"SCHENECTADY",1900,46852,31682,444,0.004119355,0.8639402,0.2068001,1.919077,0.02755485,210,223.1048,0.9892308,0.6762145,0.5723731,NA,Inf,1.300518,-0.0008811488,-0.0695489,0.01990213,0.1351233,NA,NA,-0.01379159,0.6762145
"155",13,930,"SCHENECTADY",1910,88235,72826,NA,0.003944013,0.8749469,0.2379441,1.788312,0.01683006,206,428.3252,0.9339748,0.8253641,0.8832707,-0.01904762,1.298655,NA,-0.0001753414,0.01100671,0.03114399,-0.1307649,205.2205,-0.05525598,-0.0107248,0.1491496
"227",13,930,"SCHENECTADY",1920,109363,88723,149,0.004608506,0.9695463,0.2165175,1.323904,0.01282884,206,530.8883,0.5857008,0.8112707,0.2394515,0,0.2182874,NA,0.0006644925,0.09459947,-0.02142666,-0.4644086,102.5631,-0.348274,-0.00400122,-0.01409336
"299",13,930,"SCHENECTADY",1930,125021,95692,126,0.005751034,0.955745,0.1951752,0.8309753,0.007006823,206,606.8981,0.8289647,0.7654074,0.1431746,0,0.07854784,-0.1543624,0.001142528,-0.01380133,-0.02134226,-0.4929284,76.00971,0.2432639,-0.005822013,-0.04586331
"371",13,930,"SCHENECTADY",1940,122494,87549,107,0.005886003,1.006421,0.159967,1.044669,0.005347201,209,586.0957,NA,0.7147207,-0.0202126,0.01456311,-0.08509593,-0.1507937,0.0001349688,0.05067585,-0.03520819,0.2136935,-20.80236,NA,-0.001659622,-0.05068669
"443",13,930,"SCHENECTADY",1950,142497,91785,NA,0.01077216,1.023071,0.1184937,NA,0.004189562,209,681.8038,NA,0.6441188,0.1632978,0,0.04838433,NA,0.004886154,0.01664973,-0.0414733,NA,95.70813,NA,-0.001157639,-0.0706019
"25",24,950,"LUCAS",1890,102296,81434,767,0.01154493,0.9763906,0.2520529,1.152994,0.03097873,NA,NA,NA,0.7960624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",24,950,"LUCAS",1900,153559,131822,1132,0.01174793,0.9900084,0.1994282,1.297081,0.01833172,342,449.0029,0.9782557,0.8584453,0.5011242,NA,0.6187587,0.4758801,0.0002029991,0.01361784,-0.05262463,0.1440868,NA,NA,-0.01264701,0.06238288
