"","icpsr.state.code","icpsr.county.code","name","year","totpop","urb25","mfgestab","nonwhitepct","fmratio","forbornpct","rentownratio","irishbornpct","area","popdens","litvappct","urb25pct","dtotpop","darea","durb25","dmfgestab","dnonwhitepct","dfmratio","dforbornpct","drentownratio","dpopdens","dlitvappct","dirishbornpct","durb25pct"
"102",31,1930,"WOODBURY",1900,54610,33111,398,0.005438564,0.9197103,0.1687603,1.51732,0.0166453,864,63.20602,0.9925906,0.6063175,-0.01837072,NA,-0.1241866,0.6446281,-0.001392037,0.1399989,-0.03964493,-0.1463092,NA,NA,-0.00620126,-0.07325538
"174",31,1930,"WOODBURY",1910,67616,47828,NA,0.004836133,0.8674842,0.1886832,1.327766,0.01121036,864,78.25926,0.979043,0.7073474,0.2381615,0,0.4444746,NA,-0.0006024309,-0.05222615,0.01992285,-0.1895541,15.05324,-0.01354763,-0.005434939,0.1010298
"246",31,1930,"WOODBURY",1920,92171,71227,282,0.01347495,0.8995322,0.1397186,1.179097,0.005945471,864,106.6794,0.6106259,0.7727702,0.3631537,0,0.4892322,NA,0.008638821,0.03204799,-0.04896459,-0.1486696,28.42014,-0.3684171,-0.005264893,0.0654228
"318",31,1930,"WOODBURY",1930,101669,79183,164,0.01438983,0.9839402,0.09719777,1.194378,0.002537647,864,117.6725,0.8006472,0.7788313,0.1030476,0,0.1116992,-0.4184397,0.0009148795,0.08440803,-0.0425208,0.01528157,10.99306,0.1900213,-0.003407824,0.006061128
"390",31,1930,"WOODBURY",1940,103627,82364,129,0.009736845,1.028918,0.07264516,1.37746,0.001872099,866,119.6617,NA,0.7948122,0.01925857,0.002314815,0.04017276,-0.2134146,-0.004652989,0.04497805,-0.02455261,0.1830815,1.989209,NA,-0.0006655477,0.01598086
"462",31,1930,"WOODBURY",1950,103917,83991,NA,0.0115573,1.040349,0.05317705,NA,0.001212506,871,119.3077,NA,0.8082508,0.002798498,0.005773672,0.01975378,NA,0.001820456,0.01143045,-0.01946811,NA,-0.3539705,NA,-0.0006595928,0.01343865
"33",32,2090,"WYANDOTTE",1890,54407,38316,260,0.1283475,0.8776574,0.1471134,1.745919,0.03086,NA,NA,NA,0.7042476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",32,2090,"WYANDOTTE",1900,73227,51418,568,0.122687,0.9169372,0.1183443,1.710832,0.02105781,153,478.6078,0.9849157,0.7021727,0.3459114,NA,0.3419459,1.184615,-0.005660468,0.0392798,-0.0287691,-0.03508682,NA,NA,-0.009802193,-0.002074919
"177",32,2090,"WYANDOTTE",1910,100068,82331,NA,0.1124036,0.9236078,0.1192289,1.136965,0.01201183,143,699.7762,0.9524867,0.8227505,0.3665451,-0.06535948,0.6012097,NA,-0.01028342,0.006670601,0.0008845978,-0.573867,221.1684,-0.032429,-0.009045975,0.1205778
"249",32,2090,"WYANDOTTE",1920,122218,101177,238,0.1376802,0.9508061,0.1074146,1.017028,0.007200249,143,854.6713,0.5815592,0.8278404,0.2213495,0,0.2289053,NA,0.02527665,0.02719829,-0.0118143,-0.1199375,154.8951,-0.3709275,-0.004811583,0.005089887
"321",32,2090,"WYANDOTTE",1930,141211,121857,170,0.1749864,0.9886072,0.06002365,0.754533,0.002691008,143,987.4895,0.7882106,0.8629427,0.1554026,0,0.2043943,-0.2857143,0.03730616,0.03780117,-0.04739097,-0.2624946,132.8182,0.2066514,-0.00450924,0.03510227
"393",32,2090,"WYANDOTTE",1940,145071,121458,133,0.1589222,1.024576,0.05108533,0.9145892,0.00177844,151,960.7351,NA,0.8372314,0.02733498,0.05594406,-0.00327433,-0.2176471,-0.01606418,0.03596886,-0.008938322,0.1600562,-26.75441,NA,-0.000912569,-0.02571126
"465",32,2090,"WYANDOTTE",1950,165318,129553,NA,0.1782927,1.044901,0.03386201,NA,0.001342866,151,1094.821,NA,0.7836594,0.1395661,0,0.06664855,NA,0.01937056,0.0203252,-0.01722332,NA,134.0861,NA,-0.000435573,-0.05357205
"44",44,2150,"MUSCOGEE",1890,27761,0,93,0.5535103,1.171373,0.01163503,4.524349,0.002017218,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",44,2150,"MUSCOGEE",1900,29836,0,151,0.5230929,1.155936,0.008111007,4.452261,0.001139563,255,117.0039,0.9430362,0,0.07474515,NA,NA,0.6236559,-0.03041741,-0.01543658,-0.003524021,-0.0720875,NA,NA,-0.0008776555,0
"187",44,2150,"MUSCOGEE",1910,36227,0,NA,0.4625003,1.123381,0.008805587,3.741717,0.000690093,235,154.1574,0.8171721,0,0.2142043,-0.07843137,NA,NA,-0.06059256,-0.03255531,0.0006945802,-0.7105439,37.15353,-0.1258641,-0.0004494699,0
"259",44,2150,"MUSCOGEE",1920,44195,31125,88,0.3678018,1.101821,0.008145718,3.924913,0.0004977939,235,188.0638,0.4780858,0.7042652,0.2199464,0,Inf,NA,-0.09469856,-0.02155934,-0.0006598692,0.1831956,33.90638,-0.3390863,-0.0001922992,0.7042652
"331",44,2150,"MUSCOGEE",1930,57558,43131,96,0.3590986,1.148248,0.005681226,3.049017,0.0001389902,235,244.9277,0.7250252,0.7493485,0.3023645,0,0.3857349,0.09090909,-0.008703139,0.04642621,-0.002464492,-0.8758963,56.86383,0.2469394,-0.0003588036,0.04508329
"403",44,2150,"MUSCOGEE",1940,75494,53280,83,0.3446102,1.129351,0.004410947,3.673616,0.0001457069,220,343.1545,NA,0.7057515,0.3116161,-0.06382979,0.2353064,-0.1354167,-0.01448848,-0.01889697,-0.001270279,0.6245995,98.22689,NA,6.716708e-06,-0.04359703
"475",44,2150,"MUSCOGEE",1950,118028,79611,NA,0.2608364,0.9903206,0.01001457,NA,NA,220,536.4909,NA,0.6745094,0.563409,0,0.4942005,NA,-0.08377376,-0.1390301,0.005603626,NA,193.3364,NA,NA,-0.03124201
"54",49,3030,"LUBBOCK",1890,33,0,0,0.06060606,0.32,0.03030303,6,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",49,3030,"LUBBOCK",1900,293,0,0,0,0.7034884,0.003412969,0.2307692,0,982,0.2983707,0.9880952,0,7.878788,NA,NA,NA,-0.06060606,0.3834884,-0.02689006,-5.769231,NA,NA,0,0
"198",49,3030,"LUBBOCK",1910,3624,0,NA,0.001655629,0.8247734,0.02235099,0.952381,0.001655629,868,4.175115,0.9981768,0,11.3686,-0.1160896,NA,NA,0.001655629,0.121285,0.01893802,0.7216117,3.876745,0.01008161,0.001655629,0
"270",49,3030,"LUBBOCK",1920,11096,0,10,0.01369863,0.8822731,0.02226027,0.9643154,0.0003604903,868,12.78341,0.4857606,0,2.06181,0,NA,NA,0.012043,0.0574997,-9.07194e-05,0.0119344,8.608295,-0.5124162,-0.001295139,0
"342",49,3030,"LUBBOCK",1930,39104,0,40,0.06891878,0.9487691,0.004526391,1.320084,0.0002045827,868,45.05069,0.7727342,0,2.524153,0,NA,3,0.05522015,0.06649595,-0.01773388,0.3557689,32.26728,0.2869736,-0.0001559076,0
"414",49,3030,"LUBBOCK",1940,51782,31853,66,0.05938357,0.9773934,0.007396393,1.301249,0.0001931173,892,58.05157,NA,0.6151365,0.3242124,0.02764977,Inf,0.65,-0.009535211,0.0286243,0.002870001,-0.01883527,13.00088,NA,-1.146535e-05,0.6151365
"486",49,3030,"LUBBOCK",1950,101048,71747,NA,0.07854683,0.9386823,0.01044058,NA,NA,892,113.2825,NA,0.7100289,0.9514117,0,1.252441,NA,0.01916326,-0.03871104,0.00304419,NA,55.23094,NA,NA,0.09489236
"55",49,3750,"POTTER",1890,849,0,6,0.02237927,0.5693161,0.08598351,1.791667,0.00942285,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",49,3750,"POTTER",1900,1820,0,5,0.00989011,0.7635659,0.0478022,1.398148,0.004395604,874,2.08238,0.9963303,0,1.143698,NA,NA,-0.1666667,-0.01248916,0.1942498,-0.03818131,-0.3935185,NA,NA,-0.005027246,0
"199",49,3750,"POTTER",1910,12424,0,NA,0.0121539,0.8354262,0.05247907,1.653128,0.003219575,934,13.30193,0.9602496,0,5.826374,0.06864989,NA,NA,0.002263786,0.07186032,0.004676875,0.2549803,11.21955,-0.03608068,-0.001176029,0
"271",49,3750,"POTTER",1920,16710,0,42,0.01903052,0.8714302,0.04967086,1.360787,0.002274087,934,17.89079,0.5866547,0,0.3449775,0,NA,NA,0.006876625,0.03600396,-0.002808217,-0.2923417,4.588865,-0.3735949,-0.0009454876,0
"343",49,3750,"POTTER",1930,46080,42015,52,0.0594401,0.9301332,0.01282552,1.541436,0.001171875,934,49.33619,0.7944444,0.9117839,1.75763,0,Inf,0.2380952,0.04040958,0.05870303,-0.03684533,0.1806497,31.4454,0.2077897,-0.001102212,0.9117839
"415",49,3750,"POTTER",1940,54265,50023,70,0.0506588,1.026931,0.01313922,1.67645,0.0006818391,901,60.22752,NA,0.9218281,0.1776259,-0.03533191,0.1905986,0.3461538,-0.0087813,0.09679792,0.0003137033,0.1350132,10.89134,NA,-0.0004900359,0.01004421
"487",49,3750,"POTTER",1950,73366,67755,NA,0.04942344,1.037831,0.01121773,NA,NA,901,81.4273,NA,0.9235204,0.3519948,0,0.3544769,NA,-0.001235365,0.01090011,-0.001921494,NA,21.19978,NA,NA,0.001692366
"35",40,5100,NA,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",40,5100,"ALEXANDRIA CITY",1900,14528,0,172,0.3126377,1.115317,0.0282902,1.824083,0.01018722,NA,NA,0.9787809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",40,5100,"ALEXANDRIA CITY",1910,15329,0,NA,0.2737948,1.037347,0.02087546,2.000909,0.004827451,1,15329,0.9404301,0,0.05513491,NA,NA,NA,-0.0388429,-0.07797026,-0.007414733,0.1768263,NA,-0.03835076,-0.005359773,0
"251",40,5100,"ALEXANDRIA CITY",1920,18060,0,NA,0.2283499,0.9703251,0.02967885,1.854369,0.002657807,NA,NA,0.5799003,0,0.178159,NA,NA,NA,-0.04544482,-0.06702204,0.008803383,-0.1465402,NA,-0.3605298,-0.002169644,0
"323",40,5100,"ALEXANDRIA CITY",1930,24149,0,24,0.2036937,1.031889,0.01991801,1.054617,0.0008696012,8,3018.625,0.7751874,0,0.3371539,NA,NA,NA,-0.02465621,0.06156382,-0.009760839,-0.7997516,NA,0.195287,-0.001788206,0
"395",40,5100,"ALEXANDRIA",1940,33523,33523,21,0.1582197,1.043089,0.02243236,1.289069,0.0006264356,8,4190.375,NA,1,0.3881734,0,Inf,-0.125,-0.045474,0.0111998,0.002514351,0.2344513,1171.75,NA,-0.0002431656,1
"467",40,5100,"ALEXANDRIA CITY",1950,61787,61787,NA,0.1240714,1.094617,0.02490815,NA,NA,NA,NA,NA,1,0.8431226,NA,0.8431226,NA,-0.03414832,0.05152785,0.002475792,NA,NA,NA,NA,0
"36",40,6800,NA,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",40,6800,"LYNCHBURG",1900,18891,0,168,0.4369276,1.24332,0.01328675,2.741675,0.003334921,NA,NA,0.975821,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",40,6800,"LYNCHBURG",1910,29494,29494,NA,0.3211162,1.141125,0.01525734,2.091046,0.001390113,5,5898.8,0.9071101,1,0.5612726,NA,Inf,NA,-0.1158115,-0.102195,0.00197059,-0.6506288,NA,-0.06871091,-0.001944808,1
"252",40,6800,"LYNCHBURG",1920,30070,30070,NA,0.2770203,1.174573,0.01153974,1.671369,0.0005986033,NA,NA,0.5379781,1,0.0195294,NA,0.0195294,NA,-0.04409587,0.0334481,-0.0037176,-0.419677,NA,-0.369132,-0.00079151,0
"324",40,6800,"LYNCHBURG",1930,40661,40661,70,0.2374265,1.174501,0.008533976,1.235936,0.0002459359,13,3127.769,0.7661887,1,0.3522115,NA,0.3522115,NA,-0.03959376,-7.201925e-05,-0.003005765,-0.4354333,NA,0.2282107,-0.0003526673,0
"396",40,6800,"LYNCHBURG",1940,44541,44541,68,0.2298107,1.189823,0.005994477,1.584351,2.245122e-05,13,3426.231,NA,1,0.09542313,0,0.09542313,-0.02857143,-0.00761579,0.0153217,-0.002539499,0.348415,298.4615,NA,-0.0002234847,0
"468",40,6800,"LYNCHBURG",1950,47727,47727,NA,0.2195822,1.206723,0.006411465,NA,NA,NA,NA,NA,1,0.0715296,NA,0.0715296,NA,-0.01022853,0.01689976,0.0004169882,NA,NA,NA,NA,0
"37",40,7100,NA,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",40,7100,"NORFOLK CITY",1900,46624,46624,445,0.4355482,1.053559,0.03656915,4.925327,0.00589825,NA,NA,0.9796232,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",40,7100,"NORFOLK CITY",1910,67452,67452,NA,0.3721016,1.052271,0.05283757,3.935494,0.003350531,7,9636,0.9143827,1,0.4467227,NA,0.4467227,NA,-0.06344657,-0.001287569,0.01626842,-0.9898323,NA,-0.06524043,-0.002547719,0
"253",40,7100,"NORFOLK CITY",1920,115777,115777,NA,0.3761628,0.929038,0.05689386,3.31405,0.002919405,NA,NA,0.5996441,1,0.7164354,NA,0.7164354,NA,0.004061153,-0.1232333,0.004056283,-0.6214448,NA,-0.3147386,-0.0004311253,0
"325",40,7100,"NORFOLK CITY",1930,129710,129710,177,0.3407293,0.9940353,0.03345155,1.998571,0.001164135,28,4632.5,0.7957906,1,0.1203434,NA,0.1203434,NA,-0.03543348,0.06499731,-0.02344231,-1.315479,NA,0.1961465,-0.00175527,0
"397",40,7100,"NORFOLK CITY",1940,144332,144332,181,0.3192916,0.9785329,0.02612033,2.520282,0.0008314165,28,5154.714,NA,1,0.1127284,0,0.1127284,0.02259887,-0.02143769,-0.01550232,-0.007331212,0.5217116,522.2143,NA,-0.0003327189,0
"469",40,7100,"NORFOLK CITY",1950,213513,213513,NA,0.2971622,0.8020712,0.02064511,NA,NA,NA,NA,NA,1,0.4793185,NA,0.4793185,NA,-0.0221294,-0.1764617,-0.005475221,NA,NA,NA,NA,0
"38",40,7300,"PETERSBURG",1890,22680,0,271,0.5389771,1.182448,0.01199295,2.500693,0.003306878,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",40,7300,"PETERSBURG",1900,21810,0,225,0.4930307,1.201029,0.01233379,2.157682,0.002200825,NA,NA,0.943098,0,-0.03835979,NA,NA,-0.1697417,-0.04594635,0.01858133,0.0003408465,-0.3430115,NA,NA,-0.001106053,0
"182",40,7300,"PETERSBURG",1910,24127,0,NA,0.4565425,1.172038,0.01608157,2.105673,0.001740788,3,8042.333,0.8653755,0,0.1062357,NA,NA,NA,-0.03648826,-0.0289912,0.003747777,-0.05200897,NA,-0.07772247,-0.000460037,0
"254",40,7300,"PETERSBURG",1920,31012,31012,NA,0.4390236,1.124255,0.01647749,2.714939,0.001031859,NA,NA,0.5133497,1,0.2853649,NA,Inf,NA,-0.01751886,-0.04778308,0.0003959242,0.6092661,NA,-0.3520259,-0.0007089297,1
"326",40,7300,"PETERSBURG",1930,28564,28564,74,0.4411847,1.166401,0.01081781,2.35701,0.0005951547,4,7141,0.7487397,1,-0.07893719,NA,-0.07893719,NA,0.002161104,0.04214613,-0.00565968,-0.3579288,NA,0.23539,-0.0004367039,0
"398",40,7300,"PETERSBURG",1940,30631,30631,NA,0.4405341,1.144277,0.00812902,2.650581,0.0004570533,5,6126.2,NA,1,0.07236381,0.25,0.07236381,NA,-0.0006506086,-0.022124,-0.002688793,0.2935707,-1014.8,NA,-0.0001381014,0
"470",40,7300,"PETERSBURG",1950,35054,35054,NA,0.4222628,1.121399,0.01183888,NA,NA,NA,NA,NA,1,0.1443962,NA,0.1443962,NA,-0.0182713,-0.02287804,0.003709858,NA,NA,NA,NA,0
"39",40,7400,NA,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",40,7400,"PORTSMOUTH",1900,17427,0,103,0.3239226,0.962279,0.04074138,2.440488,0.01170597,NA,NA,0.9831759,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",40,7400,"PORTSMOUTH",1910,33190,33190,NA,0.3504067,0.8848316,0.03359446,2.784981,0.00409762,3,11063.33,0.9152782,1,0.904516,NA,Inf,NA,0.0264841,-0.0774474,-0.007146922,0.3444928,NA,-0.06789774,-0.007608354,1
"255",40,7400,"PORTSMOUTH",1920,54387,54387,NA,0.4281906,0.9422541,0.02837075,2.240827,0.001507713,NA,NA,0.5315241,1,0.6386562,NA,0.6386562,NA,0.07778381,0.0574225,-0.005223706,-0.5441542,NA,-0.3837541,-0.002589907,0
"327",40,7400,"PORTSMOUTH",1930,45704,45704,47,0.4140338,0.9945014,0.01921057,1.719396,0.0007220375,5,9140.8,0.7686198,1,-0.1596521,NA,-0.1596521,NA,-0.01415678,0.05224729,-0.009160178,-0.5214304,NA,0.2370957,-0.0007856758,0
"399",40,7400,"PORTSMOUTH",1940,50745,50745,40,0.3838211,0.9782854,0.01560745,2.250983,0.0003941275,6,8457.5,NA,1,0.1102967,0.2,0.1102967,-0.1489362,-0.03021272,-0.01621597,-0.003603123,0.5315868,-683.3,NA,-0.00032791,0
"471",40,7400,"PORTSMOUTH",1950,80039,80039,NA,0.3839253,0.839216,0.01068229,NA,NA,NA,NA,NA,1,0.5772785,NA,0.5772785,NA,0.0001042703,-0.1390695,-0.004925157,NA,NA,NA,NA,0
"40",40,7600,NA,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",40,7600,"RICHMOND CITY",1900,85050,85050,763,0.3792122,1.129657,0.03368607,3.513743,0.006055262,NA,NA,0.979845,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",40,7600,"RICHMOND CITY",1910,127628,127628,NA,0.3662911,1.095526,0.03200708,3.168721,0.003173285,11,11602.55,0.9143372,1,0.5006232,NA,0.5006232,NA,-0.01292113,-0.03413163,-0.001678984,-0.3450223,NA,-0.06550779,-0.002881977,0
"256",40,7600,"RICHMOND CITY",1920,171667,171667,NA,0.3151042,1.129045,0.0270116,2.861217,0.001537861,NA,NA,0.581795,1,0.3450575,NA,0.3450575,NA,-0.05118685,0.03351884,-0.004995485,-0.3075039,NA,-0.3325422,-0.001635424,0
"328",40,7600,"RICHMOND CITY",1930,182929,182929,305,0.290047,1.134154,0.02211787,1.999797,0.0005958596,24,7622.042,0.7978123,1,0.06560376,NA,0.06560376,NA,-0.02505728,0.005109222,-0.004893727,-0.8614197,NA,0.2160173,-0.0009420015,0
"400",40,7600,"RICHMOND CITY",1940,193042,193042,326,0.317734,1.139681,0.01806343,2.437087,0.0004040571,21,9192.476,NA,1,0.05528374,-0.125,0.05528374,0.06885246,0.02768701,0.005526898,-0.004054444,0.4372891,1570.435,NA,-0.0001918024,0
"472",40,7600,"RICHMOND CITY",1950,230310,230310,NA,0.3173201,1.148635,0.01604794,NA,NA,NA,NA,NA,1,0.1930564,NA,0.1930564,NA,-0.0004138309,0.008953874,-0.002015491,NA,NA,NA,NA,0
