city,state,icpsr.state.code,year,icpsr_ctname,icpsr.county.code,haspr,ineffect,adoptyear,govyear,census.year,diss.case,confederacy,trounstine.dominance,debt1913oradopt,netdebtadopt,sinking1913oradopt,by.ordinance,prior.control,prior.lower.size,to.lower.size,from_form,to_form,dhomerule_st,dmerit,daustralian,ddirectprimary,Pop,Unempt_1,ManuPCt_1,RetlPCt_1,Fiscalt_1,NonWhiteRatiot_1,LnPopt_1,ChgPop,OwHoust_1,VtRept_1,YrCityAget_1,RegEast,RegMidWest,RegWest,YrFounded,YrCityAge,gui,ChgGovForm,White,Labor,Emp,Unemp,GovEmp,GovRev,GovExp,Manu,VlManu,Retl,SlRetl,Whol,SlWhol,Hous,OwHous,OcHous,OwOcu,VtRep,CYr25000,CYr10000,AdptYr25000,WhiteRatio,ChgWhite,NonWhite,NonWhiteRatio,Region,_Iyear_1935,_Iyear_1940,_Iyear_1945,_Iyear_1950,_Iyear_1955,_Iyear_1960,_Iyear_1965,_Iyear_1970,_Iyear_1975,_Iyear_1980,_Iyear_1985,_Iyear_1990,_Iyear_1995,_Iyear_2000,_Iyear_2005
San Diego,CA,71,1935,SAN DIEGO,730,0,1932,1931,1930,1930,1,0,0,15536900,,500755,,,,,,2,1879,1913,1891,1909,175668,0.07553861,1.709517,15.87216,-0.03681834,0.09440184,11.90493,18.6986,47.35003,66.3,70,0,0,1,1860,75,6167,1,165485,69288,60406,0.1281854,1283,5646.5,6358,233,NA,2789,NA,234,NA,57126,43.45349,54594,23723,35,1910,1890,1909,103.4281,23.47415,10183,0.0579673,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covington,KY,51,1935,KENTON,1170,0,1932,1930,1927,1930,1,0,0,3211200,,,,,,,,2,NA,1941,1888,1912,63635,0.06062323,1.701097,13.1337,-0.1323155,0.05336235,11.08601,-2.478085,47.3727,53.6,100,0,0,0,1830,105,9303,1,60314,27787,22703,0.1829288,422,1270.552,1890.472,90,NA,910,NA,46,NA,18065,42.92033,17635,7569,25.6,1880,1860,1914,94.78117,-2.357131,3321,0.05218826,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington,KY,51,1935,FAYETTE,670,0,1932,1931,1927,1930,1,0,1,2212570,,478709,,,,,3,2,NA,1941,1888,1912,47520,0.0471823,0.7652615,18.01644,0.07413601,0.2790799,10.73064,3.900647,35.73923,65.1,140,0,0,0,1790,145,9304,1,34672,20891,16967,0.1877926,396,1324.624,1414.935,33,NA,798,NA,113,NA,13294,32.20221,12937,4166,44.1,1900,1870,1912,72.96296,5.15589,12848,0.2703704,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Binghamton,NY,13,1935,BROOME,70,0,1932,1931,1930,1930,1,0,0,7707300,,150577,,,,,,2,1923,1883,1895,1913,77485,0.0319775,2.126216,15.99228,0.04971122,0.009913647,11.24716,1.073544,43.45608,65.2,70,1,0,0,1860,75,2104,1,76730,34416,29648,0.1385391,1094,4497.639,4284.153,147,NA,1191,NA,140,NA,20293,40.25196,19686,7924,54.6,1890,1870,1890,99.02562,1.09088,755,0.009743822,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elmira,NY,13,1935,CHEMUNG,150,0,1934,1932,1930,1930,1,0,0,3580000,,7600,,,,,,2,1923,1883,1895,1913,46251,0.06138197,2.08874,15.73939,0.04601227,0.01791253,10.76631,-2.417875,50.69252,67,60,1,0,0,1870,65,2106,1,45249,19173,15986,0.1661967,526,2765,2664.5,85,NA,794,NA,79,NA,12732,45.94748,12375,5686,56.7,1890,1870,1890,97.83356,-2.790668,1002,0.0216644,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trenton,NJ,12,1935,MERCER,210,0,1935,1935,1934,1930,1,0,1,20300610,,1828374,,,,,,2,NA,1908,1911,1911,124026,0.08009176,2.115827,16.19702,-0.1932773,0.06582574,11.72283,0.5431435,53.60118,59.2,120,1,0,0,1810,125,2231,1,115296,54059,43680,0.1919853,1132,7655.835,7457.113,258,NA,2170,NA,160,NA,28712,46.5482,28362,13202,37.8,1880,1860,1911,92.98064,0.05206706,8730,0.07038847,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheeling,WV,56,1940,OHIO,690,1,1935,1935,1932,1930,1,0,0,2450100,,,,,,,,2,1936,1940,1891,1915,61099,0.1720752,1.75956,16.55289,-0.2197422,0.03357826,11.02482,-0.4561821,41.42226,37.4,95,0,0,0,1840,100,9207,1,59186,26237,22099,0.1577162,453,1084,1137,104,NA,1043,31885,173,42068,16917,38.56476,16555,6524,45.4,1880,1850,1880,96.86902,-0.2225294,1913,0.03130984,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saginaw,MI,23,1940,SAGINAW,1450,0,1936,1935,1934,1930,1,0,0,5505000,,564824,,,,,,2,1908,1937,1891,1905,82794,0.1147549,1.590136,12.94126,0.1012987,0.05126355,11.31147,1.272109,60.84809,37.5,75,0,1,0,1860,80,3431,1,79384,33296,28264,0.1511293,669,1735,1855,125,34794,1073,35911,142,37719,23100,55.31169,22386,12777,54.4,1890,1880,1914,95.88135,2.347769,3410,0.04118656,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Schenectady,NY,13,1940,SCHENECTADY,930,0,1936,1934,1934,1930,1,0,1,12050484,,127636,,,,,,2,1923,1883,1895,1913,87549,0.1269988,1.135123,15.74984,-0.0251568,0.007738485,11.4254,-4.443353,43.92538,45.3,135,1,0,0,1800,140,2125,1,86837,38372,31845,0.170098,952,7305,6627,94,NA,1468,44789,99,23503,26553,38.73009,25306,10284,51.3,1900,1870,1900,99.18674,-4.481306,712,0.008132589,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,OH,24,1940,LUCAS,950,1,1936,1934,1932,1930,1,0,0,31578657,,1078222,,,,,,2,1912,1913,1891,1908,282349,0.1984379,1.81829,12.83622,-0.08387733,0.05014431,12.56561,-1.460216,48.09805,34.5,95,0,1,0,1840,100,3136,1,267589,123092,99209,0.1940256,2086,8091,8090,456,100743,3549,131629,499,128510,82607,44.36791,79341,36651,49.5,1870,1860,1870,94.77243,-1.681333,14760,0.05227573,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
